Estudio	Ensayo	chi2	L	P	Inh	Trest	Trelative	C_h	Tipo_red
Chi30_zscore_L20	1	900.0778	29	0.6011150117432088	0.7080725777960455	0.20584494295802447	9.904943464577968	0.8324426408004217	0
Chi30_zscore_L20	4	79087.8663	26	0.046450412719997725	0.6075448519014384	1.7052412368729153	2.3557571667257102	0.9488855372533332	2
Chi30_zscore_L20	5	79087.8663	28	0.3046137691733707	0.09767211400638387	6.842330265121569	11.243855202517583	0.12203823484477883	1
Chi30_zscore_L20	9	79087.8663	23	0.28093450968738076	0.5426960831582485	1.4092422497476265	9.431212057288024	0.07455064367977082	2
Chi30_zscore_L20	10	79087.8663	28	0.1987156815341724	0.005522117123602399	8.154614284548341	15.223187723024513	0.7290071680409873	2
Chi30_zscore_L20	12	79087.8663	23	0.32518332202674705	0.7296061783380641	6.3755747135521315	15.247702139315399	0.4722149251619493	0
Chi30_zscore_L20	13	79087.8663	27	0.7607850486168974	0.5612771975694962	7.70967179954561	12.647627763189519	0.5227328293819941	1
Chi30_zscore_L20	18	79087.8663	28	0.8607305832563434	0.006952130531190703	5.107473025775658	9.281583057263447	0.22210781047073025	0
Chi30_zscore_L20	19	79087.8663	23	0.9429097039125192	0.32320293202075523	5.187906217433661	12.218095806385438	0.363629602379294	2
Chi30_zscore_L20	23	114.8833	26	0.6335297107608947	0.5357746840747585	0.902897700544083	9.255922656436463	0.32078006497173583	0
Chi30_zscore_L20	24	5499.8096	20	0.5908929431882418	0.6775643618422824	0.16587828927856152	5.286808872271371	0.22649577519793795	1
Chi30_zscore_L20	28	79087.8663	27	0.8971102599525771	0.8870864242651173	7.798755458576238	14.219071920119116	0.08413996499504883	0
Chi30_zscore_L20	29	79087.8663	29	0.6064290596595899	0.009197051616629648	1.014715428660321	7.649733119740879	0.005061583846218687	0
Chi30_zscore_L20	30	79087.8663	26	0.6918951976926933	0.6519612595026005	2.242693094605598	9.364485308080956	0.23724908749680007	0
Chi30_zscore_L20	31	79087.8663	28	0.6496328990472147	0.8492234104941779	6.576128923003433	12.25921495635815	0.09367476782809248	1
Chi30_zscore_L20	34	79087.8663	27	0.17711067940704894	0.9404585843529143	9.539285770025874	18.68792967223036	0.3701587002554444	0
Chi30_zscore_L20	36	79087.8663	29	0.31692200515627766	0.1694927466860925	5.568012624583502	14.92956036619131	0.696029796674973	1
